target,source
i'm supposed to have a refund but it isn't there,Refund_not_showing_up _ i'm | there | have | isn't | to | refund | a
my refund is not here yet,Refund_not_showing_up _ yet | here | not | refund
i've been waiting for a refund to show up and i don't see it on my statement yet.,Refund_not_showing_up _ i | to | yet. | up | refund | for | waiting | i've | my | and | show | see
a refund for a recent return has not arrived on my card.,Refund_not_showing_up _ a | recent | arrived | my | not | on | return | has
where is my refund? it appears to be missing.,Refund_not_showing_up _ refund? | to | missing. | it | appears | where
what do i need to do for the card activation?,activate_my_card _ the | activation? | for | i | do | need | what
i have a new card and need to activate it,activate_my_card _ and | i | it | to | need | a | card
how do i turn on my new card?,activate_my_card _ turn | new | i | on | do
it won't let me activate my card.,activate_my_card _ let | won't | me | card.
my card is not able to be activated how do i get it to work?,activate_my_card _ to | be | card | able | it | get | is | not | work? | i
what are age requirements for opening an account?,age_limit _ for | account? | requirements | what | opening
how old can one use your service?,age_limit _ use | service? | old | how
my son has just turned 13 is he old enough for an account?,age_limit _ an | son | 13 | just | my | account? | enough | turned | for
my daughter needs an acount.,age_limit _ daughter | my | needs
as my kids get older are they able to get set up with their own accounts?,age_limit _ they | accounts? | up | their | set | with | able | are | to | own | kids
why isn't my google pay top up working?,apple_pay_or_google_pay _ working? | my | why | up | isn't
how can i top up with google play?,apple_pay_or_google_pay _ how | up | google | top | i
is there a way to top up using my apple watch?,apple_pay_or_google_pay _ apple | to | up | watch? | a | top | using
google pay top up isn't working,apple_pay_or_google_pay _ up | pay | working | google
can i pay for my gas using my apple watch?,apple_pay_or_google_pay _ my | watch? | apple | my | for | i | pay
where can i withdraw money from?,atm_support _ withdraw | where | i | money
which atms accept this bill of fare ?,atm_support _ ? | fare | this | accept | which
tell me what atms take this card.,atm_support _ card. | atms | what | me
tell me what atms use this card.,atm_support _ what | card. | tell | me
can i use my card to withdraw from my account?,atm_support _ card | i | withdraw | my | can | use | from
auto-top up option can be found where?,automatic_top_up _ found | can | auto-top | option
can i automatically top-up when traveling?,automatic_top_up _ i | traveling? | when | automatically
is there a auto top-up option?,automatic_top_up _ top-up | auto | option? | a
is there a limit to auto top?,automatic_top_up _ limit | top? | to | auto
how low does the balance have to be before the system updates?,automatic_top_up _ be | low | the | updates? | have | balance | the | system
i completed a transfer that isn't showing up on my account.,balance_not_updated_after_bank_transfer _ showing | account. | i | that | on | a | up
it is common for an international transfer to take 2 days or longer? i made a transfer from france 2 days ago and i have not seen it yet.,balance_not_updated_after_bank_transfer _ 2 | take | i | have | an | and | days | is | from | ago | i | or | a | it | it | france | international | not | longer? | transfer
i made a bank transfer from my uk account today but it's not showing.  can you check status?,balance_not_updated_after_bank_transfer _ not | you | my | today | made | from | status? | can | i | uk | transfer | account | a
